Field,Config,spw,suffix,filename,bmaj,bmin,bpa,wcs_restfreq,minfreq,maxfreq,imsize,cell,threshold,niter,pblimit,pbmask,restfreq,nchan,width,start,chanchunks,deconvolver,weighting,robust,git_version,git_date,version,min,max,std,sum,mean,min_K,max_K,std_K,sum_K,mean_K,lowmin,lowmax,lowstd,lowmadstd,lowsum,lowmean,modmin,modmax,modstd,modsum,modmean,epsilon
,,$\mathrm{}$,,,prime\prime,prime\prime,rad,Hz,Hz,Hz,,,,,,,$\mathrm{}$,$\mathrm{}$,,,,,,,,,,Jy\beam^-1,Jy\beam,Jy\beam,Jy\beam,Jy\beam,K,K,K,K,K,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\pix,Jy\pix,Jy\pix,Jy\pix,Jy\pix,$\mathrm{}$
u,7M,18,.image,uid___A001_X15a0_X11a.s12_0.Sgr_A_star_sci.spw18.cube.I.iter1.image,17.6966452412195,10.2788701454015,1.44388458356982,86900000000,86641180005.3,87139761668.1187,"(240, 300)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,86900000000,2043,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.431819826364517,1.20050871372223,0.0272084350925869,21460.2227783203,0.000246990448351494,-0.38426950990062,1.06831337258713,0.0242123482523134,19097.1066771308,0.000219792822708526,-0.431819826364517,1.20050871372223,0.0272084350925869,0.022679188455206,21460.2227783203,0.000246990448351494,-0.197380438446999,0.542319476604462,0.000525782714510569,341.83522605896,2.32389205728885E-06,1.27307404165032
u,7M,20,.image,uid___A001_X15a0_X11a.s12_0.Sgr_A_star_sci.spw20.cube.I.iter1.image,17.3671933561801,9.91283758048641,1.46513937402854,89188526000,89148686540.1,89211030433.6751,"(240, 300)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,89188526000,2043,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-1.07940471172333,1.61355710029602,0.0922113517138051,132310.540435791,0.00154701974237229,-0.963467557465122,1.44024748212438,0.0823070761516456,118099.274383413,0.00138085679666349,-1.07940471172333,1.61355710029602,0.0922113517138051,0.0653206745592504,132310.540435791,0.00154701974237229,-0.432162761688232,0.956512093544006,0.00183173397477135,2185.28999567032,1.48562163190727E-05,1.26052334188558
u,7M,26,.image,uid___A001_X15a0_X11a.s12_0.Sgr_A_star_sci.spw26.cube.I.iter1.image,15.4310899169457,8.94938636778669,1.43993534788285,100500000000,99552989213.7,101424684893.377,"(240, 300)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,100500000000,3834,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.733641624450684,2.05125117301941,0.022213433349294,17974.0478143692,0.000120510305372859,-0.642942947639223,1.79765900894322,0.019467230100904,15751.9514946166,0.000105611852401836,-0.733641624450684,2.05125117301941,0.022213433349294,0.0194699691672517,17974.0478143692,0.000120510305372859,-0.358135014772415,0.704424619674683,0.000509857540138149,380.360020339489,1.37787638504713E-06,1.30362550349235
z,TM1,29,.image,uid___A001_X15a0_X136.s38_0.Sgr_A_star_sci.spw29.cube.I.iter1.image,2.60507485412561,1.79866310918033,1.43948454806353,89188526000,89147518676,89205863164.7883,"(1458, 1500)","['0.28999999999998877 arcsec', '0.28999999999999915 arcsec']",,,,,89188526000,1913,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0922543555498123,0.202399984002113,0.0120360377543834,481354.59173584,0.000146865109276217,-3.02571565937857,6.63822100759787,0.394752396168938,15787245.1360035,0.0048168138870523,-0.0922543555498123,0.202399984002113,0.0120360377543834,0.0110327343097268,481354.59173584,0.000146865109276217,-0.0515645854175091,0.0771406143903732,0.000155312033640696,7323.56108775735,1.75048565210272E-06,0.763190443421045
z,TM1,31,.image,uid___A001_X15a0_X136.s12_0.Sgr_A_star_sci.spw31.cube.I.iter1.image,2.73982086468867,1.807656943855,1.42087701293421,87925237000,87884296418.8,87942671422.5175,"(1458, 1500)","['0.28999999999998877 arcsec', '0.28999999999999915 arcsec']",,,,,87925237000,1914,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.130186423659325,0.24174565076828,0.0132029490567497,975251.427562714,0.000296253492252915,-4.15652604084493,7.71833240698588,0.421537054539085,31137332.4582856,0.00945863109707058,-0.130186423659325,0.24174565076828,0.0132029490567497,0.0111852588215797,975251.427562714,0.000296253492252915,-0.0688931196928024,0.0977945178747177,0.00022855398253468,14606.8661804497,3.48952516041875E-06,0.787279441900756
z,TM1,35,.image,uid___A001_X15a0_X136.s38_0.Sgr_A_star_sci.spw35.cube.I.iter1.image,1.96200391484286,1.32682857887372,1.3128032344725,100500000000,99550041794.9,101421456515.665,"(1458, 1500)","['0.28999999999998877 arcsec', '0.28999999999999915 arcsec']",,,,,100500000000,3834,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0289251022040844,0.141086921095848,0.00401125863325793,12829.8815644681,2.03332820007545E-06,-1.34482334487594,6.55959601482667,0.186496635838289,596503.484003381,9.45361303120967E-05,-0.0289251022040844,0.141086921095848,0.00401125863325793,0.00399211343703125,12829.8815644681,2.03332820007545E-06,-0.0110272290185094,0.0519253574311733,1.61885886736576E-05,336.784200447611,4.01652817399457E-08,0.903485567826956
z,TM1,33,.image,uid___A001_X15a0_X136.s38_0.Sgr_A_star_sci.spw33.cube.I.iter1.image,1.9601526026342,1.27922590872498,1.38914360591807,98600000000,97666053790.7,99538469530.7,"(1458, 1500)","['0.28999999999998877 arcsec', '0.28999999999999915 arcsec']",,,,,98600000000,3836,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0329981669783592,0.111127212643623,0.0034810704505672,85181.6899577975,1.34899131886098E-05,-1.6542186236751,5.57087625117915,0.174508225666894,4270211.07010938,0.00067625773404303,-0.0329981669783592,0.111127212643623,0.0034810704505672,0.00338192701964095,85181.6899577975,1.34899131886098E-05,-0.0227717403322458,0.0353307835757732,4.10844031375239E-05,2498.59277877398,2.97829765084273E-07,0.914647904043291
z,TM1,25,.image,uid___A001_X15a0_X136.s38_0.Sgr_A_star_sci.spw25.cube.I.iter1.image,2.60927678837279,1.63474656857242,1.42393526581254,86200000000,85954718601.7,86421961984.935,"(1458, 1500)","['0.28999999999998877 arcsec', '0.28999999999999915 arcsec']",,,,,86200000000,1915,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.027773093432188,0.503736853599548,0.0041652027794694,1995.11839282513,6.01869804641812E-07,-1.07120010857792,19.4289834363627,0.160650655661052,76951.1341701378,2.3213942719642E-05,-0.027773093432188,0.503736853599548,0.0041652027794694,0.00415436416965134,1995.11839282513,6.01869804641812E-07,0,0.348713278770447,2.11210469238436E-05,29.5271558873355,7.05024250522266E-09,0.753859164515258
z,TM1,27,.image,uid___A001_X15a0_X136.s38_0.Sgr_A_star_sci.spw27.cube.I.iter1.image,2.59255804885521,1.62837515413307,1.4266404545288,86900000000,86654667907.1,87121667171.535,"(1458, 1500)","['0.28999999999998877 arcsec', '0.28999999999999915 arcsec']",,,,,86900000000,1914,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0293551906943321,0.0943932384252548,0.00411304742072365,23903.0172001123,7.2377148914626E-06,-1.12562737566,3.61951705083569,0.157715166028481,916563.302261678,0.000277530815721302,-0.0293551906943321,0.0943932384252548,0.00411304742072365,0.00403629014163437,23903.0172001123,7.2377148914626E-06,-0.00859075970947742,0.0367649868130684,2.30586094201733E-05,418.158423738554,9.98964680480015E-08,0.757031273619335
ab,TM1,35,.image,uid___A001_X15a0_X142.s38_0.Sgr_A_star_sci.spw35.cube.I.iter1.image,1.58234159748815,1.39125563084509,-1.46958614907804,100500000000,99561888820.8,101433310441.035,"(1600, 1440)","['0.27999999999999986 arcsec', '0.27999999999999986 arcsec']",,,,,100500000000,3834,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0178266391158104,0.0876192003488541,0.00284618591181094,4349.24093781412,8.5467964517827E-07,-0.979861938297614,4.81609118399501,0.156443916667892,239061.083121957,4.69784600623428E-05,-0.0178266391158104,0.0876192003488541,0.00284618591181094,0.00284325297182859,4349.24093781412,8.5467964517827E-07,-0.00662907119840384,0.0227624606341124,8.05947282940667E-06,135.419571072329,1.53301657538192E-08,0.75821810979766
